Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Afghanistan,"Almonds, in shell",2019,29203.0,38205.0,1308.3
Afghanistan,"Almonds, in shell",2020,22134.0,39307.0,1775.9
Afghanistan,"Almonds, in shell",2021,36862.0,64256.0,1743.2
Afghanistan,"Almonds, in shell",2022,36462.0,63515.0,1742.0
Afghanistan,"Almonds, in shell",2023,37000.0,67000.0,1810.8
Afghanistan,Apples,2019,27559.0,250324.0,9083.2
Afghanistan,Apples,2020,25643.0,270857.0,10562.6
Afghanistan,Apples,2021,30463.0,321672.0,10559.4
Afghanistan,Apples,2022,30163.0,318402.0,10556.0
Afghanistan,Apples,2023,31000.0,324000.0,10451.6
Afghanistan,Apricots,2019,17719.0,129363.0,7300.8
Afghanistan,Apricots,2020,17481.0,131788.0,7538.9
Afghanistan,Apricots,2021,27082.0,207490.0,7661.5
Afghanistan,Apricots,2022,26731.0,170508.0,6378.7
Afghanistan,Apricots,2023,22008.0,155429.38,7062.4
Afghanistan,Barley,2019,84070.0,123576.0,1469.9
Afghanistan,Barley,2020,86099.0,127757.0,1483.8
Afghanistan,Barley,2021,40273.0,65102.0,1616.5
Afghanistan,Barley,2022,61952.0,94687.0,1528.4
Afghanistan,Barley,2023,80000.0,110000.0,1375.0
Afghanistan,Cantaloupes and other melons,2019,37136.0,464230.0,12500.8
Afghanistan,Cantaloupes and other melons,2020,58942.0,793496.0,13462.3
Afghanistan,Cantaloupes and other melons,2021,59437.0,763382.89,12843.6
Afghanistan,Cantaloupes and other melons,2022,70902.0,762542.69,10754.8
Afghanistan,Cantaloupes and other melons,2023,73628.0,795100.45,10798.9
Afghanistan,"Cheese from milk of goats, fresh or processed",2019,171281.03645017848,10632.05,12705.65079886103
Afghanistan,"Cheese from milk of goats, fresh or processed",2020,171281.03645017848,10574.54,12705.65079886103
Afghanistan,"Cheese from milk of goats, fresh or processed",2021,171281.03645017848,10544.72,12705.65079886103
Afghanistan,"Cheese from milk of goats, fresh or processed",2022,171281.03645017848,10648.14,12705.65079886103
Afghanistan,Figs,2019,3529.0,24319.0,6891.2
Afghanistan,Figs,2020,3219.0,15994.0,4968.6
Afghanistan,Figs,2021,10077.0,59755.66,5929.9
Afghanistan,Figs,2022,9787.0,58035.99,5929.9
Afghanistan,Figs,2023,10228.0,60651.09,5929.9
Afghanistan,Grapes,2019,89593.0,1112927.0,12422.0
Afghanistan,Grapes,2020,92584.0,993382.0,10729.5
Afghanistan,Grapes,2021,92645.0,993884.0,10727.9
Afghanistan,Grapes,2022,92600.0,909792.0,9825.0
Afghanistan,Grapes,2023,93000.0,1086000.0,11677.4
Afghanistan,Linseed,2019,38323.0,55000.0,12705.65079886103
Afghanistan,Linseed,2020,31089.0,34216.0,1100.6
Afghanistan,Linseed,2021,31329.0,31165.0,994.8
Afghanistan,Linseed,2022,31605.0,28579.0,904.3
Afghanistan,Linseed,2023,35000.0,29000.0,828.6
Afghanistan,Millet,2019,1401.0,2714.0,1937.2
Afghanistan,Millet,2020,1437.0,1895.0,1318.7
Afghanistan,Millet,2021,979.0,1550.0,1583.2
Afghanistan,Millet,2022,1213.0,1913.0,1577.1
Afghanistan,Millet,2023,1142.0,1824.12,1597.9
